date,age_group,hospital_cases
2020-02-27T00:00:00Z,Under 35,0
2020-02-27T00:00:00Z,35 to 54,0
2020-02-27T00:00:00Z,55 to 64,0
2020-02-27T00:00:00Z,65 and older,0
2020-03-01T00:00:00Z,Under 35,0
2020-03-01T00:00:00Z,35 to 54,0
2020-03-01T00:00:00Z,55 to 64,0
2020-03-01T00:00:00Z,65 and older,0
2020-03-02T00:00:00Z,Under 35,0
2020-03-02T00:00:00Z,35 to 54,0
2020-03-02T00:00:00Z,55 to 64,0
2020-03-02T00:00:00Z,65 and older,0
2020-03-03T00:00:00Z,Under 35,0
2020-03-03T00:00:00Z,35 to 54,0
2020-03-03T00:00:00Z,55 to 64,0
2020-03-03T00:00:00Z,65 and older,0
2020-03-04T00:00:00Z,Under 35,0
2020-03-04T00:00:00Z,35 to 54,0
2020-03-04T00:00:00Z,55 to 64,0
2020-03-04T00:00:00Z,65 and older,0
2020-03-05T00:00:00Z,Under 35,0
2020-03-05T00:00:00Z,35 to 54,0
2020-03-05T00:00:00Z,55 to 64,0
2020-03-05T00:00:00Z,65 and older,0
2020-03-06T00:00:00Z,Under 35,0
2020-03-06T00:00:00Z,35 to 54,0
2020-03-06T00:00:00Z,55 to 64,0
2020-03-06T00:00:00Z,65 and older,0
2020-03-07T00:00:00Z,Under 35,0
2020-03-07T00:00:00Z,35 to 54,0
2020-03-07T00:00:00Z,55 to 64,0
2020-03-07T00:00:00Z,65 and older,0
2020-03-08T00:00:00Z,Under 35,0
2020-03-08T00:00:00Z,35 to 54,0
2020-03-08T00:00:00Z,55 to 64,0
2020-03-08T00:00:00Z,65 and older,0
2020-03-09T00:00:00Z,Under 35,0
2020-03-09T00:00:00Z,35 to 54,0
2020-03-09T00:00:00Z,55 to 64,0
2020-03-09T00:00:00Z,65 and older,0
2020-03-10T00:00:00Z,Under 35,0
2020-03-10T00:00:00Z,35 to 54,0
2020-03-10T00:00:00Z,55 to 64,0
2020-03-10T00:00:00Z,65 and older,0
2020-03-11T00:00:00Z,Under 35,0
2020-03-11T00:00:00Z,35 to 54,0
2020-03-11T00:00:00Z,55 to 64,0
2020-03-11T00:00:00Z,65 and older,0
2020-03-12T00:00:00Z,Under 35,0
2020-03-12T00:00:00Z,35 to 54,0
2020-03-12T00:00:00Z,55 to 64,0
2020-03-12T00:00:00Z,65 and older,0
2020-03-13T00:00:00Z,Under 35,0
2020-03-13T00:00:00Z,35 to 54,0
2020-03-13T00:00:00Z,55 to 64,0
2020-03-13T00:00:00Z,65 and older,0
2020-03-14T00:00:00Z,Under 35,0
2020-03-14T00:00:00Z,35 to 54,0
2020-03-14T00:00:00Z,55 to 64,0
2020-03-14T00:00:00Z,65 and older,0
2020-03-15T00:00:00Z,Under 35,0
2020-03-15T00:00:00Z,35 to 54,0
2020-03-15T00:00:00Z,55 to 64,0
2020-03-15T00:00:00Z,65 and older,0
2020-03-16T00:00:00Z,Under 35,0
2020-03-16T00:00:00Z,35 to 54,0
2020-03-16T00:00:00Z,55 to 64,0
2020-03-16T00:00:00Z,65 and older,0
2020-03-17T00:00:00Z,Under 35,0
2020-03-17T00:00:00Z,35 to 54,0
2020-03-17T00:00:00Z,55 to 64,0
2020-03-17T00:00:00Z,65 and older,0
2020-03-18T00:00:00Z,Under 35,28
2020-03-18T00:00:00Z,35 to 54,26
2020-03-18T00:00:00Z,55 to 64,23
2020-03-18T00:00:00Z,65 and older,31
2020-03-19T00:00:00Z,Under 35,36
2020-03-19T00:00:00Z,35 to 54,46
2020-03-19T00:00:00Z,55 to 64,31
2020-03-19T00:00:00Z,65 and older,60
2020-03-20T00:00:00Z,Under 35,44
2020-03-20T00:00:00Z,35 to 54,62
2020-03-20T00:00:00Z,55 to 64,34
2020-03-20T00:00:00Z,65 and older,71
2020-03-21T00:00:00Z,Under 35,49
2020-03-21T00:00:00Z,35 to 54,68
2020-03-21T00:00:00Z,55 to 64,37
2020-03-21T00:00:00Z,65 and older,85
2020-03-22T00:00:00Z,Under 35,55
2020-03-22T00:00:00Z,35 to 54,78
2020-03-22T00:00:00Z,55 to 64,43
2020-03-22T00:00:00Z,65 and older,101
2020-03-23T00:00:00Z,Under 35,57
2020-03-23T00:00:00Z,35 to 54,84
2020-03-23T00:00:00Z,55 to 64,50
2020-03-23T00:00:00Z,65 and older,114
2020-03-24T00:00:00Z,Under 35,58
2020-03-24T00:00:00Z,35 to 54,93
2020-03-24T00:00:00Z,55 to 64,56
2020-03-24T00:00:00Z,65 and older,133
2020-03-25T00:00:00Z,Under 35,68
2020-03-25T00:00:00Z,35 to 54,110
2020-03-25T00:00:00Z,55 to 64,71
2020-03-25T00:00:00Z,65 and older,169
2020-03-26T00:00:00Z,Under 35,72
2020-03-26T00:00:00Z,35 to 54,130
2020-03-26T00:00:00Z,55 to 64,76
2020-03-26T00:00:00Z,65 and older,210
2020-03-27T00:00:00Z,Under 35,77
2020-03-27T00:00:00Z,35 to 54,149
2020-03-27T00:00:00Z,55 to 64,88
2020-03-27T00:00:00Z,65 and older,249
2020-03-28T00:00:00Z,Under 35,84
2020-03-28T00:00:00Z,35 to 54,168
2020-03-28T00:00:00Z,55 to 64,101
2020-03-28T00:00:00Z,65 and older,290
2020-03-29T00:00:00Z,Under 35,90
2020-03-29T00:00:00Z,35 to 54,182
2020-03-29T00:00:00Z,55 to 64,108
2020-03-29T00:00:00Z,65 and older,321
2020-03-30T00:00:00Z,Under 35,104
2020-03-30T00:00:00Z,35 to 54,210
2020-03-30T00:00:00Z,55 to 64,130
2020-03-30T00:00:00Z,65 and older,388
2020-03-31T00:00:00Z,Under 35,116
2020-03-31T00:00:00Z,35 to 54,237
2020-03-31T00:00:00Z,55 to 64,145
2020-03-31T00:00:00Z,65 and older,432
2020-04-01T00:00:00Z,Under 35,123
2020-04-01T00:00:00Z,35 to 54,257
2020-04-01T00:00:00Z,55 to 64,160
2020-04-01T00:00:00Z,65 and older,497
2020-04-02T00:00:00Z,Under 35,127
2020-04-02T00:00:00Z,35 to 54,275
2020-04-02T00:00:00Z,55 to 64,174
2020-04-02T00:00:00Z,65 and older,540
2020-04-03T00:00:00Z,Under 35,134
2020-04-03T00:00:00Z,35 to 54,289
2020-04-03T00:00:00Z,55 to 64,185
2020-04-03T00:00:00Z,65 and older,593
2020-04-04T00:00:00Z,Under 35,138
2020-04-04T00:00:00Z,35 to 54,299
2020-04-04T00:00:00Z,55 to 64,191
2020-04-04T00:00:00Z,65 and older,635
2020-04-05T00:00:00Z,Under 35,142
2020-04-05T00:00:00Z,35 to 54,317
2020-04-05T00:00:00Z,55 to 64,207
2020-04-05T00:00:00Z,65 and older,677
2020-04-06T00:00:00Z,Under 35,150
2020-04-06T00:00:00Z,35 to 54,351
2020-04-06T00:00:00Z,55 to 64,230
2020-04-06T00:00:00Z,65 and older,739
2020-04-07T00:00:00Z,Under 35,153
2020-04-07T00:00:00Z,35 to 54,361
2020-04-07T00:00:00Z,55 to 64,237
2020-04-07T00:00:00Z,65 and older,768
2020-04-08T00:00:00Z,Under 35,168
2020-04-08T00:00:00Z,35 to 54,386
2020-04-08T00:00:00Z,55 to 64,256
2020-04-08T00:00:00Z,65 and older,819
2020-04-09T00:00:00Z,Under 35,174
2020-04-09T00:00:00Z,35 to 54,400
2020-04-09T00:00:00Z,55 to 64,271
2020-04-09T00:00:00Z,65 and older,871
2020-04-10T00:00:00Z,Under 35,181
2020-04-10T00:00:00Z,35 to 54,409
2020-04-10T00:00:00Z,55 to 64,279
2020-04-10T00:00:00Z,65 and older,906
2020-04-11T00:00:00Z,Under 35,185
2020-04-11T00:00:00Z,35 to 54,422
2020-04-11T00:00:00Z,55 to 64,287
2020-04-11T00:00:00Z,65 and older,953
2020-04-12T00:00:00Z,Under 35,187
2020-04-12T00:00:00Z,35 to 54,432
2020-04-12T00:00:00Z,55 to 64,293
2020-04-12T00:00:00Z,65 and older,989
2020-04-13T00:00:00Z,Under 35,190
2020-04-13T00:00:00Z,35 to 54,447
2020-04-13T00:00:00Z,55 to 64,301
2020-04-13T00:00:00Z,65 and older,1028
2020-04-14T00:00:00Z,Under 35,192
2020-04-14T00:00:00Z,35 to 54,462
2020-04-14T00:00:00Z,55 to 64,308
2020-04-14T00:00:00Z,65 and older,1062
2020-04-15T00:00:00Z,Under 35,196
2020-04-15T00:00:00Z,35 to 54,472
2020-04-15T00:00:00Z,55 to 64,318
2020-04-15T00:00:00Z,65 and older,1094
2020-04-16T00:00:00Z,Under 35,201
2020-04-16T00:00:00Z,35 to 54,491
2020-04-16T00:00:00Z,55 to 64,330
2020-04-16T00:00:00Z,65 and older,1144
2020-04-17T00:00:00Z,Under 35,209
2020-04-17T00:00:00Z,35 to 54,503
2020-04-17T00:00:00Z,55 to 64,343
2020-04-17T00:00:00Z,65 and older,1176
2020-04-18T00:00:00Z,Under 35,213
2020-04-18T00:00:00Z,35 to 54,510
2020-04-18T00:00:00Z,55 to 64,349
2020-04-18T00:00:00Z,65 and older,1198
2020-04-19T00:00:00Z,Under 35,219
2020-04-19T00:00:00Z,35 to 54,520
2020-04-19T00:00:00Z,55 to 64,356
2020-04-19T00:00:00Z,65 and older,1226
2020-04-20T00:00:00Z,Under 35,223
2020-04-20T00:00:00Z,35 to 54,528
2020-04-20T00:00:00Z,55 to 64,366
2020-04-20T00:00:00Z,65 and older,1267
2020-04-21T00:00:00Z,Under 35,223
2020-04-21T00:00:00Z,35 to 54,535
2020-04-21T00:00:00Z,55 to 64,372
2020-04-21T00:00:00Z,65 and older,1291
2020-04-22T00:00:00Z,Under 35,230
2020-04-22T00:00:00Z,35 to 54,553
2020-04-22T00:00:00Z,55 to 64,379
2020-04-22T00:00:00Z,65 and older,1321
2020-04-23T00:00:00Z,Under 35,232
2020-04-23T00:00:00Z,35 to 54,561
2020-04-23T00:00:00Z,55 to 64,385
2020-04-23T00:00:00Z,65 and older,1028
2020-04-24T00:00:00Z,Under 35,231
2020-04-24T00:00:00Z,35 to 54,568
2020-04-24T00:00:00Z,55 to 64,392
2020-04-24T00:00:00Z,65 and older,1382
2020-04-25T00:00:00Z,Under 35,236
2020-04-25T00:00:00Z,35 to 54,578
2020-04-25T00:00:00Z,55 to 64,396
2020-04-25T00:00:00Z,65 and older,1412
2020-04-26T00:00:00Z,Under 35,235
2020-04-26T00:00:00Z,35 to 54,581
2020-04-26T00:00:00Z,55 to 64,401
2020-04-26T00:00:00Z,65 and older,1418
2020-04-27T00:00:00Z,Under 35,245
2020-04-27T00:00:00Z,35 to 54,584
2020-04-27T00:00:00Z,55 to 64,406
2020-04-27T00:00:00Z,65 and older,1432
2020-04-28T00:00:00Z,Under 35,248
2020-04-28T00:00:00Z,35 to 54,591
2020-04-28T00:00:00Z,55 to 64,406
2020-04-28T00:00:00Z,65 and older,1459
2020-04-29T00:00:00Z,Under 35,253
2020-04-29T00:00:00Z,35 to 54,600
2020-04-29T00:00:00Z,55 to 64,416
2020-04-29T00:00:00Z,65 and older,1496
2020-04-30T00:00:00Z,Under 35,253
2020-04-30T00:00:00Z,35 to 54,605
2020-04-30T00:00:00Z,55 to 64,415
2020-04-30T00:00:00Z,65 and older,1509
2020-05-01T00:00:00Z,Under 35,261
2020-05-01T00:00:00Z,35 to 54,616
2020-05-01T00:00:00Z,55 to 64,422
2020-05-01T00:00:00Z,65 and older,1524
2020-05-02T00:00:00Z,Under 35,264
2020-05-02T00:00:00Z,35 to 54,619
2020-05-02T00:00:00Z,55 to 64,423
2020-05-02T00:00:00Z,65 and older,1532
2020-05-03T00:00:00Z,Under 35,269
2020-05-03T00:00:00Z,35 to 54,629
2020-05-03T00:00:00Z,55 to 64,424
2020-05-03T00:00:00Z,65 and older,1555
2020-05-04T00:00:00Z,Under 35,268
2020-05-04T00:00:00Z,35 to 54,627
2020-05-04T00:00:00Z,55 to 64,421
2020-05-04T00:00:00Z,65 and older,1560
2020-05-05T00:00:00Z,Under 35,271
2020-05-05T00:00:00Z,35 to 54,630
2020-05-05T00:00:00Z,55 to 64,425
2020-05-05T00:00:00Z,65 and older,1563
2020-05-06T00:00:00Z,Under 35,273
2020-05-06T00:00:00Z,35 to 54,628
2020-05-06T00:00:00Z,55 to 64,429
2020-05-06T00:00:00Z,65 and older,1583
2020-05-07T00:00:00Z,Under 35,275
2020-05-07T00:00:00Z,35 to 54,635
2020-05-07T00:00:00Z,55 to 64,437
2020-05-07T00:00:00Z,65 and older,1605
2020-05-08T00:00:00Z,Under 35,279
2020-05-08T00:00:00Z,35 to 54,644
2020-05-08T00:00:00Z,55 to 64,436
2020-05-08T00:00:00Z,65 and older,1625
2020-05-09T00:00:00Z,Under 35,278
2020-05-09T00:00:00Z,35 to 54,644
2020-05-09T00:00:00Z,55 to 64,436
2020-05-09T00:00:00Z,65 and older,1638
2020-05-10T00:00:00Z,Under 35,280
2020-05-10T00:00:00Z,35 to 54,646
2020-05-10T00:00:00Z,55 to 64,439
2020-05-10T00:00:00Z,65 and older,1664
2020-05-11T00:00:00Z,Under 35,284
2020-05-11T00:00:00Z,35 to 54,646
2020-05-11T00:00:00Z,55 to 64,439
2020-05-11T00:00:00Z,65 and older,1679
2020-05-12T00:00:00Z,Under 35,285
2020-05-12T00:00:00Z,35 to 54,649
2020-05-12T00:00:00Z,55 to 64,442
2020-05-12T00:00:00Z,65 and older,1675
2020-05-13T00:00:00Z,Under 35,287
2020-05-13T00:00:00Z,35 to 54,651
2020-05-13T00:00:00Z,55 to 64,442
2020-05-13T00:00:00Z,65 and older,1680
2020-05-14T00:00:00Z,Under 35,289
2020-05-14T00:00:00Z,35 to 54,662
2020-05-14T00:00:00Z,55 to 64,449
2020-05-14T00:00:00Z,65 and older,1692
2020-05-15T00:00:00Z,Under 35,293
2020-05-15T00:00:00Z,35 to 54,667
2020-05-15T00:00:00Z,55 to 64,453
2020-05-15T00:00:00Z,65 and older,1712
2020-05-16T00:00:00Z,Under 35,293
2020-05-16T00:00:00Z,35 to 54,668
2020-05-16T00:00:00Z,55 to 64,457
2020-05-16T00:00:00Z,65 and older,1707
2020-05-17T00:00:00Z,Under 35,294
2020-05-17T00:00:00Z,35 to 54,670
2020-05-17T00:00:00Z,55 to 64,463
2020-05-17T00:00:00Z,65 and older,1714
2020-05-18T00:00:00Z,Under 35,294
2020-05-18T00:00:00Z,35 to 54,672
2020-05-18T00:00:00Z,55 to 64,470
2020-05-18T00:00:00Z,65 and older,1725
2020-05-19T00:00:00Z,Under 35,295
2020-05-19T00:00:00Z,35 to 54,675
2020-05-19T00:00:00Z,55 to 64,473
2020-05-19T00:00:00Z,65 and older,1737
2020-05-20T00:00:00Z,Under 35,296
2020-05-20T00:00:00Z,35 to 54,676
2020-05-20T00:00:00Z,55 to 64,474
2020-05-20T00:00:00Z,65 and older,1745
2020-05-21T00:00:00Z,Under 35,297
2020-05-21T00:00:00Z,35 to 54,676
2020-05-21T00:00:00Z,55 to 64,476
2020-05-21T00:00:00Z,65 and older,1759
2020-05-22T00:00:00Z,Under 35,300
